Hymn_Title,Hymn_Number,Rating,Type,Sunday Morning,Sunday_Evening,Sunday_Morning,Midweek,Other_Services
God has not given us the spirit of fear (F),429,,,,,,,
GOD HAS SPOKEN BY HIS PROPHETS (Ab),183,,,,,,,
God has told us in His Word (Eb),645,,,,,,,
GOD IS HOLY (C),83,,,,,,,
GOD IS SO GOOD (C/Db/D/Eb),563,,,,,,,
GOD LEADS US ALONG (C),148,,,,,,,
GOD MAKES NO MISTAKES (Bb),681,,,,,,,
God never moves without purpose or plan (Eb),680,,,,,,,
GOD OF OUR FATHERS (Eb),697,,,,,,,
GOD OF THE AGES (C),86,,,,,,,
GOD REST YE MERRY GENTLEMEN (Em),195,,,,,,,
GOD SEES THE HEART (C),88,,,,,,,
God sent His Son (Ab),387,,,,,,,
"God spoke to Israel, “Bring me a sacrifice” (Dm)",260,,,,,,,
GOD WILL TAKE CARE OF YOU (Ab),158,,,,,,,
GOD’S FINAL CALL (G),480,,,,,,,
GOD’S PERFECT LAMB (Dm),260,,,,,,,
GOD’S REFINING FIRE (G),686,,,,,,,
GOD’S WORD SHALL STAND FOREVER (Bb),180,,,,,,,
"GOOD CHRISTIAN MEN, REJOICE (F)",203,,,,,,,
"GOOD SHEPHERD, TAKE THIS LITTLE CHILD (C)",688,,,,,,,
GOT ANY RIVERS? (G),677,,,,,,,
GRACE (G),126,,,,,,,
GRACE ALONE (C),128,,,,,,,
GRACE GREATER THAN OUR SIN (G),122,,,4/2/2017,,,,
GRACE IS FLOWING (G),123,,,,,,,
GRACE! ‘TIS A CHARMING SOUND (D),129,,,,,,,
GREAT AND MIGHTY (Eb),12,,,,,,,
GREAT GOD OF WONDERS (C),96,,,,,,,
Great is the faithfulness You’ve shown to me (D),120,,,,,,,
"GUIDE ME, O THOU GREAT JEHOVAH (G/Ab)",161,,,,,,,
HALLELUJAH FOR THE CROSS! (Bb),318,,,,,,,
HALLELUJAH! WE SHALL RISE (G),625,,,,,,,
HALLELUJAH! WHAT A SAVIOR (Bb/C),286,,,,,,,
HARK! THE HERALD ANGELS SING (F),227,,,,,,,
HARK! THE HERALD ANGELS SING — DESCANT (F),228,,,,,,,
Hark! ‘tis the Shepherd’s voice I hear (G),642,,,,,,,
HAVE I DONE MY BEST FOR JESUS? (F),406,,,,,,,
"HAVE THINE OWN WAY, LORD (Eb)",494,,,,,,,
HAVE YOU ANY ROOM FOR JESUS? (Ab),477,,,,,,,
Have you been to Jesus for the cleansing pow’r? (Ab),297,,,,,,,
HE CARES FOR YOU (F),156,,,,,,,
HE DIED FOR ME (D),288,,,4/2/2017,,,,
HE GIVETH MORE GRACE (D),125,,,,,,,
HE HIDETH MY SOUL (C),141,,,,,,,
HE INCLUDED ME (Ab),355,,,,,,,
HE IS ABLE (F),675,,,,,,,
HE IS ABLE TO DELIVER THEE (G),163,,,,,,,
"He is almighty, unchangeable God (Bb)",3,,,,,,,
HE IS BORN (F),207,,,,,,,
HE IS JEHOVAH (Em),159,,,,,,,
HE IS KING (F),21,,,,,,,
HE IS LORD (F/G),87,,,,,,,
HE IS MY STRENGTH (Ab),166,,,,,,,
HE KEEPS ME SINGING (G),541,,,,,,,
HE KNOWETH THE WAY (F),168,,,,,,,
HE LEADETH ME (C),149,,,,,,,
HE LIFTED ME (F),150,,,,,,,
HE LIVES (Ab),327,,,,,,,
HE OWNS THE CATTLE ON A THOUSAND HILLS (C) ,702,,,,,,,
HE ROSE TRIUMPHANTLY (G),322,,,,,,,
HE THE PEARLY GATES WILL OPEN (G),608,,,,,,,
HE’S A WONDERFUL SAVIOR TO ME (Db),445,,,,,,,
Hear the story from God’s Word (G),261,,,,,,,
HEAVEN CAME DOWN (Eb),366,,,,,,,
HEAVENLY SUNLIGHT (F),532,,,,,,,
"HERE AM I, LORD (F)",638,,,,,,,
"HERE AM I, SEND ME (D)",639,,,,,,,
"HERE I AM, LORD (Ab)",640,,,,,,,
HERE IS LOVE (F),113,,,,,,,
HIDING IN THEE (Eb),151,,,,,,,
HIGHER GROUND (HIGHER GROUND) (G),421,,,,,,,
HIGHER GROUND (CLEMENTS) (D),454,,,,,,,
HIS EYE IS ON THE SPARROW (C),164,,,,,,,
HIS NAME IS WONDERFUL (F),258,,,,,,,
HIS ROBES FOR MINE (D),279,,,,,,,
HIS WAY IS PERFECT (Bb),685,,,,,,,
"Ho, my comrades, see the signal (C)",674,,,,,,,
HOLD THE FORT (C),674,,,,,,,
"HOLY BIBLE, BOOK DIVINE (F)",179,,,,,,,
"Holy God, in love, became (C/Db)",363,,,,,,,
"HOLY GOD, WE PRAISE THY NAME (F)",37,,,,,,,
"HOLY, HOLY, HOLY (D)",85,,,,,,,
"Holy, holy, holy, Holy is the Lord (Eb)",89,,,,,,,
HOLY IS HE (Bb),84,,,,,,,
HOLY IS THE LORD (Eb),89,,,,,,,
"HOLY SPIRIT, LIGHT DIVINE (Ab)",524,,,,,,,
"HOSANNA, LOUD HOSANNA (Ab)",275,,,,,,,
HOW CAN I FEAR? (C),165,,,,,,,
HOW CAN IT BE? (Eb),114,,,,,,,
HOW DEEP THE FATHER’S LOVE FOR US (Eb),106,⭐️⭐️⭐️⭐️⭐️,,,,,,
HOW FIRM A FOUNDATION (G/Ab),578,,,,,4/9/2017,,
HOW GREAT OUR JOY (C/Am),198,,,,,,,
HOW GREAT THOU ART (Bb),28,,,,,,,
HOW GREAT THOU ART — DESCANT (Bb),29,,,,,,,
"How I praise Thee, precious Savior (G)",521,,,,,,,
HOW MAJESTIC IS THY NAME (D),47,,,,,,,
HOW SWEET THE NAME OF JESUS SOUNDS (Eb),252,,,,,,,
"I AM HIS, AND HE IS MINE (D)",185,,,,,,,
I am adopted; I’m a child of the King (F),187,,,,,,,
"I am His, He is mine (D)",118,,,,,,,
I am longing today (Eb),610,,,,,,,
I am looking to Jesus (F),393,,,,,,,
I AM RESOLVED (Ab),455,,,,,,,
I am so glad that my Father in heav’n (G),689,,,,,,,
I am so happy in Christ today (Ab),355,,,,,,,
"I AM THINE, O LORD (G)",404,,,,,,,
"I am weak, but Thou art strong (Bb)",426,,,,,,,
I BELIEVE IN MIRACLES (F),465,,,,,,,
I can hear my Savior calling (F),487,,,,,,,
"I carried a burden, a staggering weight (C)",281,,,,,,,
I came to the Lord with my heart full of sin (D),479,,,,,,,
I come to the garden alone (Ab),507,,,,,,,
I don’t know how God hangs the world on nothing (Bb),92,,,,,,,
I GAVE MY LIFE FOR THEE (Bb),420,,,,,,,
I have a song I love to sing (F),337,,,,,,,
I have a song that Jesus gave me (G),537,,,,,,,
I HAVE COME FROM THE DARKNESS (C),453,,,,,,,
I HAVE DECIDED TO FOLLOW JESUS (C),399,,,,,,,
I have found a Friend in Jesus (F),251,,,,,,,
"I have one deep, supreme desire (D)",449,,,,,,,
"I hear the Savior say, “Thy strength indeed is small” (D)",276,,,,,,,
I HEAR THY WELCOME VOICE (D),490,,,,,,,
"I heard an old, old story (F)",353,,,,,,,
I HEARD THE BELLS ON CHRISTMAS DAY (Eb),231,,,,,,,
I JUST KEEP TRUSTING MY LORD (F),384,,,,,,,
I KNOW A FOUNT (Db),277,,,,,,,
"I know, I know that Jesus liveth (Bb)",329,,,,,,,
I know not why God’s wondrous grace (D),388,,,,,,,
"I know of a Name, a beautiful Name (G)",269,,,,,,,
I KNOW THAT MY REDEEMER LIVETH (Bb),329,,,,,,,
I KNOW WHOM I HAVE BELIEVED (D),388,,,,,,,
I look at the cross upon Calvary (G),320,,,,,,,
"I LOVE THY KINGDOM, LORD (F)",580,,,,,,,
I LOVE TO TELL THE STORY (G),650,,,,,,,
"I LOVE YOU, LORD (I LOVE YOU, LORD) (F)",443,,,,,,,
"I LOVE YOU, LORD (CONLEY) (F)",444,,,,,,,
I must needs go home by the way of the cross (G),300,,,,,,,
I MUST TELL JESUS (C),509,,,,,,,
I NEED THEE EVERY HOUR (G),506,,,,,,,
I RUN TO CHRIST (D),540,,,,,,,
I SAW JESUS IN YOU (C),451,,,,,,,
I saw One hanging on a tree (D),288,,,,,,,
I serve a risen Savior (Ab),327,,,,,,,
I SHALL KNOW HIM (FLORA) (Bb),613,,,,,,,
I SHALL KNOW HIM (SAVIOR FIRST) (G),614,,,,,,,
I SING A NEW SONG (Eb),552,,,,,,,
I SING PRAISES (G),50,,,,,,,
I SING THE MIGHTY POWER OF GOD (Bb),11,,,,,,,
I STAND AMAZED IN THE PRESENCE (G),102,,,,,,,
I STAND REDEEMED (C),346,,,,,,,
I SURRENDER ALL (C),476,,,,,,,
"I thank You, Lord, for all You’ve done (F)",444,,,,,,,
"I, the Lord of sea and sky (Ab)",640,,,,,,,
I thirsted in the barren land of sin and shame (G),369,,,,,,,
I trust in God through darkest night (Bb),551,,,,,,,
I wandered in the shades of night (D),540,,,,,,,
I WANT TO BE FAITHFUL (F),428,,,,,,,
I WANT TO BE LIKE JESUS (D),449,,,,,,,
"I was lost in sin, but Jesus rescued me (Db)",445,,,,,,,
"I was once a sinner, but I came (Ab)",623,,,,,,,
I was sinking deep in sin (Bb),115,,,,,,,
I WILL FOLLOW (C),442,,,,,,,
I WILL GLORY IN MY REDEEMER (C),33,,,,,,,
I WILL PRAISE HIM (D),5,,,,,,,
I WILL SING OF MY REDEEMER (G),364,,,,,,,
I WILL SING OF THE MERCIES (D),48,,,,,,,
I WILL SING THE WONDROUS STORY (C),461,,,,,,,
I will sing to the Lord with a praise song (C),52,,,,,,,
I WONDER AS I WANDER (DORIAN mode),201,,,,,,,
"I wonder, have I done my best for Jesus (F)",406,,,,,,,
I WORSHIP THEE (C),54,,,,,,,
"I WORSHIP YOU, ALMIGHTY GOD (F)",26,,,,,,,
I WOULD BE LIKE JESUS (G),434,,,,,,,
I would love to tell you what I think of Jesus (C),155,,,,,,,
I’D RATHER HAVE JESUS (C),474,,,,,,,
I’LL GO WHERE YOU WANT ME TO GO (Eb),647,,,,,,,
I’LL LIVE FOR HIM (F),319,,,,,,,
I’LL LIVE FOR JESUS (C),400,,,,,,,
I’LL TELL THE WORLD THAT I’M A CHRISTIAN (D),456,,,,,,,
I’LL WALK WITH HIM ALWAYS (Eb),446,,,,,,,
I’LL WISH I HAD GIVEN HIM MORE (G),441,,,,,,,
I’M ADOPTED (F),187,,,,,,,
I’m kind of homesick for a country (F),631,,,,,,,
I’m pressing on the upward way (G),421,,,,,,,
I’m satisfied with just a cottage below (C),629,,,,,,,
I’m so glad I’m a part of the fam’ly of God (F),188,,,,,,,
I’ve a home prepared where the saints abide (Ab),604,,,,,,,
"I’ve a message from the Lord, Hallelujah! (G)",354,,,,,,,
I’VE DISCOVERED THE WAY OF GLADNESS (Eb),447,,,,,,,
I’VE FOUND A FRIEND (G),466,,,,,,,
I’ve found a friend Who is all to me (Ab),373,,,,,,,
I’ve found a secret place of comfort and release (F),176,,,,,,,
I’VE GOT PEACE LIKE A RIVER (G),530,,,,,,,
I’ve wandered far away from God (G),483,,,,,,,
IF JESUS GOES WITH ME (C),435,,,,,,,
If you are tired of the load of your sin (G),348,,,,,,,
If you from sin are longing to be free (Eb),358,,,,,,,
"IMMORTAL, INVISIBLE, GOD ONLY WISE (G/Ab)",10,,,,,,,
IN ALL THINGS (G),562,,,,,,,
IN CHRIST ALONE (Eb),239,,,,,,,
IN HIS TIME (Eb),167,,,,,,,
In lovingkindness Jesus came (F),150,,,,,,,
IN MY HEART THERE RINGS A MELODY (G),537,,,,,,,
"In my life, Lord, be glorified (D)",464,,,,,,,
"In shady, green pastures so rich and so sweet (C)",148,,,,,,,
IN THE BLEAK MID-WINTER (F),217,,,,,,,
IN THE CROSS OF CHRIST I GLORY (Bb),311,,,,,,,
In the dark of the midnight (Db),687,,,,,,,
In the darkness of a winter’s eve (F),197,,,,,,,
IN THE GARDEN (Ab),507,,,,,,,
In the little village of Bethlehem (G),191,,,,,,,
In the morning when I rise (C),270,,,,,,,
In the resurrection morning (G),625,,,,,,,
IN THE SWEET BY AND BY (F),603,,,,,,,
IN TIMES LIKE THESE (Ab),382,,,,,,,
"INFANT HOLY, INFANT LOWLY (G)",215,,,,,,,
INTO MY HEART (Eb),370,,,,,,,
IS IT THE CROWNING DAY? (Bb),592,,,,,,,
Is there a heart o’er-bound by sorrow (Eb),162,,,,,,,
IS YOUR ALL ON THE ALTAR? (Eb),491,,,,,,,
ISN’T HE WONDERFUL? (G),705,,,,,,,
ISN’T THE LOVE OF JESUS SOMETHING WONDERFUL? (G),545,,,,,,,
IT CAME UPON THE MIDNIGHT CLEAR (Ab),194,,,,,,,
IT IS FINISHED (F),299,,,,,,,
IT IS NO SECRET (Bb),372,,,,,,,
IT IS WELL WITH MY SOUL (C/Db),529,,,,,,,
It may be at morn (C),584,,,,,,,
It may be in the valley (C),435,,,,,,,
It may not be on the mountain’s height (Eb),647,,,,,,,
IT TOOK A MIRACLE (G),368,,,,,,,
IT WILL BE WORTH IT ALL (C),609,,,,,,,
IT’S A GRAND THING TO BE A CHRISTIAN (Ab),361,,,,,,,
"IT’S FRIDAY, BUT SUNDAY’S COMIN’ (Eb)",328,,,,,,,
IT’S IN HIS NAME (C),242,,,,,,,
IT’S JUST LIKE HIS GREAT LOVE (Bb),273,,,,,,,
IVORY PALACES (Eb),611,,,,,,,
"JERUSALEM, MY HAPPY HOME (F)",628,,,,,,,
"JESUS, AT YOUR HOLY TABLE (F)",331,,,,,,,
JESUS CALLS US (G),440,,,,,,,
Jesus Christ is made to me (Eb),414,,,,,,,
JESUS CHRIST IS RISEN TODAY (F),326,,,,,,,
"JESUS, DRAW ME EVER NEARER (Eb)",683,,,,,,,
"JESUS, I COME (G)",488,,,,,,,
"JESUS, I AM RESTING, RESTING (G)",462,,,,,,,
"JESUS, I MY CROSS HAVE TAKEN (G)",427,,,,,,,
JESUS IS ALL THE WORLD TO ME (G),272,,,,,,,
JESUS IS CALLING (Bb),489,,,,,,,
JESUS IS COMING AGAIN (Bb),589,,,,,,,
Jesus is coming to earth again (C),590,,,,,,,
JESUS IS LORD (Bb/F/Bb),72,,,,,,,
Jesus is tenderly calling thee home (Bb),489,,,,,,,
JESUS IS THE SWEETEST NAME I KNOW (C),243,,,,,,,
"Jesus, keep me near the cross (F)",313,,,,,,,
Jesus knows my ev’ry word and deed (Eb),98,,,,,,,
JESUS LED ME ALL THE WAY (F),154,,,,,,,
"JESUS, LOVER OF MY SOUL (F)",240,,,,,,,
JESUS LOVES EVEN ME (G),689,,,,,,,
JESUS LOVES ME (CHINA) (C),690,,,,,,,
JESUS LOVES ME (LEOTA) (Eb),693,,,,,,,
JESUS LOVES THE LITTLE CHILDREN (Ab),694,,,,,,,
Jesus made each star in heaven (Ab),182,,,,,,,
Jesus may come today (Bb),592,,,,,,,
"Jesus, my Lord, will love me forever (G)",352,,,,,,,
Jesus my heavenly Father (Bb),471,,,,,,,
"JESUS, NAME ABOVE ALL NAMES (Eb)",257,,,,,,,
JESUS NEVER FAILS (G),245,,,,,,,
"JESUS, OUR LORD AND KING (Eb)",40,,,,,,,
JESUS PAID IT ALL (D),276,,,,,,,
JESUS SAVES! (JESUS SAVES) (F),342,,,,,,,
JESUS SAVES (LIMPSFIELD) (C),341,,,,,,,
"JESUS, SAVIOR, PILOT ME (Ab)",247,,,,,,,
JESUS SHALL REIGN (D/Eb),250,,,,,,,
"JESUS, THE VERY THOUGHT OF THEE (G)",264,,,,,,,
"JESUS, THY BLOOD AND RIGHTEOUSNESS (Ab)",321,,,,,,,
Jesus walked the road to Calv’ry (Eb),328,,,,,,,
Jesus! What a Friend for sinners! (F/G),241,,,,,,,
John saw the heav’n and earth made new (Bb),630,,,,,,,
JOY IN SERVING JESUS (F),536,,,,,,,
JOY TO THE WORLD! (C/D),199,,,,,,,
JOY WILL COME IN THE MORNING (Bb),551,,,,,,,
"JOYFUL, JOYFUL, WE ADORE THEE (F)",1,,,,,,,
JUST A CLOSER WALK WITH THEE (Bb),426,,,,,,,
JUST AS I AM (C),481,,,,,,,
JUST OVER IN THE GLORYLAND (Ab),604,,,,,,,
KING OF KINGS (Em),81,,,,,,,
King of my life I crown Thee now (D),302,,,,,,,
LAMB OF GLORY (G),261,,,,,,,
"LEAD ME, LORD (Eb)",153,,,,,,,
LEAD ME TO CALVARY (D),302,,,,,,,
"LEAD ON, O KING ETERNAL (C/Db)",140,,,,,,,
LEANING ON THE EVERLASTING ARMS (Ab),139,,,,,,,
LEARNING TO LEAN (F),138,,,,,,,
LET ALL THINGS NOW LIVING (F),63,,,,,,,
LET JESUS COME INTO YOUR HEART (G),348,,,,,,,
Let me see the world through the eyes of Jesus (G),643,,,,,,,
LET THE LOWER LIGHTS BE BURNING (Ab),646,,,,,,,
LET US BREAK BREAD TOGETHER (Eb),333,,,,,,,
Life has purpose now it never had before (Eb),463,,,,,,,
LIFT HIGH THE CROSS (C),312,,,,,,,
LIFT HIM UP! (Bb),73,,,,,,,
LIFT UP THE CROSS (Ab),283,,,,,,,
LIFT UP YOUR HEADS (G),596,,,,,,,
LIKE A RIVER GLORIOUS (F),549,,,,,,,
LIKE A RIVER GLORIOUS — DESCANT (F),550,,,,,,,
Like the woman at the well (Bb),459,,,,,,,
LISTEN FOR THE TRUMPET (Bbm/Bb),585,,,,,,,
LIVING FOR JESUS (F),475,,,,,,,
LO! HOW A ROSE E’ER BLOOMING (F),229,,,,,,,
Long ago I saw my Savior (F),299,,,,,,,
LOOK AND LIVE (G),354,,,,,,,
Look to the cross of the Lamb of God (F),304,,,,,,,
LOOK TO THE LAMB OF GOD (Eb),358,,,,,,,
"LOOK, YE SAINTS! THE SIGHT IS GLORIOUS (F)",34,,,,,,,
"Lord, as I seek Your guidance for the day (G)",126,,,,,,,
"LORD, BE GLORIFIED (D)",464,,,,,,,
